Timestamp,Model_Name,Strategy,Temperature,Repetition_Penalty,Diversity_Penalty,Diffusion_Steps,Input_Text,Generated_Output
2026-03-04 23:35:35,d3pm_cross_attention_neg_False,Manual Tuning,0.8,1.2,0.3,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,स् काम न काम स् स् काम च स् नः न । । । न न च नः नः ता ता ता ता च ता । नः नः महा । । च न काम ितः न । ितः न ॥ नो । नो नः नो काम नो काम च काम नो य य श् श् काम नो नः नः श् काम नः काम श् नो क महा ता ता क नो भा महा क च क च नो नो क
2026-03-04 23:36:24,d3pm_cross_attention_neg_True,Manual Tuning,0.8,1.2,0.3,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,सा महा न च सा े वि नः नः । नः । महा नः । न महा न े महा सा महा महा नः श्च । श्च नः महा । नः वि महा श्च नः महा नः नः शो न च महा नः ता च े श्च च नः महा नः च महा महा नः महा महा सु वि महा सा वि महा शो शो शो शो नः नः महा शो नः नः च सा नः वि श्च क नः
2026-03-04 23:36:27,d3pm_cross_attention_neg_True,High Diversity,1.2,1.4,0.8,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,क नः ता ता महा महा न महा ता क ः च क न शो क सा क महा म महा म श्च म म श्च ॥ म म महा म ता क क । महा महा महा महा वि म क वि क महा द्वि शो महा शो श्च महा महा क सु सु द्वि क सु क शो सा वि क क । ता म वि महा द्वि क क श्च क क महा श्च श्च शो क
2026-03-04 23:36:29,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,सा नः सा वि वि सा । नः महा नः । । सु महा नः सा सा नः नः नः नः । । । ता । । नः । । महा नः नः । नः नः वि नः वि महा । नः नः नः नः । नः नः नः नः महा । सु सु सा सु सा सा च च नः सा नः सु । नः वि सा नः महा वि नः नः नः नः सा वि वि वि नः
2026-03-04 23:36:39,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,सा वि । नः सा ता नः नः नः नः । महा । सु । नः महा क नः नः नः नः । । । । । महा महा । नः । नः । महा । नः सा सा नः सा महा नः नः सा सा नः महा महा सा महा महा नः शो महा सा नः । नः सा महा च च सा महा महा सा नः नः वि नः सा महा महा नः नः । । नः ।
2026-03-04 23:36:47,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,नः सा वि नः नः वि महा महा नः । । नः नः नः । । नः नः नः नः सु नः । । । । । । महा । शो । । नः नः सा नः नः नः महा च महा नः । नः नः महा नः नः नः नः नः नः सा नः सा सु नः च सा च नः सा नः वि नः नः सा नः महा च नः नः नः सा महा च सा नः महा
2026-03-04 23:36:50,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,नः वि महा महा वि ता महा नः । । । । नः नः । नः महा । नः महा । । । महा । नः । महा । े नः नः महा । नः नः शो नः नः महा नः नः नः महा नः नः नः महा नः । सु सु सु नः शो सु नः सु नः च नः च ता सु । सा नः महा नः महा महा ता । नः महा ता नः नः महा महा
2026-03-04 23:36:55,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,। वि सा सा नः सा नः नः सा नः । । । महा । । सा । नः नः । नः । नः । । । । । । । महा । नः नः नः नः नः च शो महा नः नः नः नः नः नः नः नः शो नः । नः नः सु सु सु । नः । च महा । महा नः नः नः नः सा । नः च नः नः नः नः नः नः नः च
2026-03-04 23:37:00,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,नः सु नः नः नः नः । महा । । महा । नः महा । । सु नः महा नः सु नः । नः महा । । । । । नः नः नः । नः नः नः सु नः । नः नः । महा नः सु नः नः सु नः महा महा नः महा सा । । नः सु ता सु सु सु सु महा नः नः नः सु नः शो सु महा । नः नः सु सु नः ।
2026-03-04 23:37:03,d3pm_cross_attention_neg_True,Low Diversity,0.7,1.1,0.0,10,mahāpraṇālī nakulaḥ kāmaśreṣṭhaśca candanaḥ / nāgāyano haimavataḥ sātāgiristathaiva ca,सा नः सा । । सा नः सा । महा नः महा महा । महा । नः नः । नः नः । । । । नः नः नः । नः । । नः महा । नः वि महा नः नः । नः नः नः । नः नः नः । नः च महा महा च नः च । । महा च च महा नः नः ता नः महा नः नः नः महा । च नः नः महा नः नः महा ।
